price,year,mileage,make,model,body,age,mileage_per_year,high_mileage
36000,2019,117341,porsche,911,coupe,6,19556.833333333332,0
38300,2019,7550,chevrolet,camaro,convertible,6,1258.3333333333333,0
46100,2019,7550,chevrolet,camaro,convertible,6,1258.3333333333333,0
7200,2020,50381,ford,e-series van,standard passenger van,5,10076.2,0
1830,2020,77532,datsun,pickup,standard cab pickup,5,15506.4,0
1330,2019,150000,dodge,other pickups,standard cab pickup,6,25000.0,0
10300,2019,104000,datsun,z-series,coupe,6,17333.333333333332,0
7800,2020,50000,chevrolet,corvette,coupe,5,10000.0,0
7000,2019,68352,cadillac,other,sedan,6,11392.0,0
11800,2020,1900,chevrolet,other pickups,standard cab pickup,5,380.0,0
17100,2019,69768,porsche,911,coupe,6,11628.0,0
24200,2019,72000,porsche,911,coupe,6,12000.0,0
22000,2019,64048,chevrolet,other pickups,standard cab pickup,6,10674.666666666666,0
36600,2019,0,chevrolet,chevelle,convertible,6,0.0,0
7800,2019,0,chevrolet,chevelle,coupe,6,0.0,0
3850,2019,148000,chevrolet,suburban,,6,24666.666666666668,0
6200,2019,125001,gmc,yukon,suv,6,20833.5,0
4950,2019,114735,acura,tl,,6,19122.5,0
7100,2019,77900,honda,odyssey,minivan,6,12983.333333333334,0
28300,2020,87000,chevrolet,camaro,convertible,5,17400.0,0
8300,2020,89000,chevrolet,silverado 1500,crew cab pickup,5,17800.0,0
7000,2019,6877,chevrolet,ss,sedan,6,1146.1666666666667,0
4960,2019,222000,ford,f-350,,6,37000.0,1
1550,2019,150000,gmc,sierra 3500,,6,25000.0,0
11100,2019,275000,dodge,ram 3500,,6,45833.333333333336,1
14300,2019,85987,plymouth,barracuda,coupe,6,14331.166666666666,0
12750,2020,114000,buick,grand national,,5,22800.0,0
3540,2019,153000,ford,e-series van,conversion  van,6,25500.0,1
14500,2019,15600,ford,mustang,convertible,6,2600.0,0
30600,2019,3115,ford,mustang,coupe,6,519.1666666666666,0
1080,2019,203093,ford,mustang,coupe,6,33848.833333333336,1
4110,2020,100000,chevrolet,impala,sedan,5,20000.0,0
5900,2020,153900,volkswagen,corrado,coupe,5,30780.0,1
20000,2020,33000,ferrari,mondial,coupe,5,6600.0,0
39000,2019,0,cadillac,series 62,convertible,6,0.0,0
7900,2019,48500,nash,400 series,4 door,6,8083.333333333333,0
10100,2019,58659,packard,200,coupe,6,9776.5,0
24090,2019,38000,jaguar,4.2 panther,,6,6333.333333333333,0
10000,2019,5100,pontiac,solstice,convertible,6,850.0,0
5700,2020,128000,rolls-royce,silver spirit,sedan,5,25600.0,0
940,2019,72965,gmc,jimmy,suv,6,12160.833333333334,0
7100,2020,48505,cadillac,dts,hearse,5,9701.0,0
1500,2019,39552,cadillac,deville,limousine,6,6592.0,0
2200,2019,74936,cadillac,deville,hearse,6,12489.333333333334,0
7600,2020,136123,mercury,marauder,,5,27224.6,0
9000,2019,108500,subaru,wrx,wagon,6,18083.333333333332,0
7400,2019,94000,volkswagen,beetle - classic,convertible,6,15666.666666666666,0
12000,2020,32000,mercedes-benz,s-class,four door sedan,5,6400.0,0
27100,2019,9000,ford,roadster,roadster convertible,6,1500.0,0
4050,2019,32,replica/kit makes,bradley gt-ii gte,sport gull wing coupe,6,5.333333333333333,0
11990,2019,65000,mercedes-benz,sl-class,convertible roadster,6,10833.333333333334,0
15090,2019,69000,mercedes-benz,sl-class,convertible roadster,6,11500.0,0
9800,2020,70000,mercedes-benz,sl-class,convertible,5,14000.0,0
7600,2019,21000,mercedes-benz,200-series,sedan,6,3500.0,0
11990,2019,72000,mercedes-benz,200-series,sedan,6,12000.0,0
7000,2019,74000,cadillac,allante,convertible,6,12333.333333333334,0
6200,2019,128000,chevrolet,c-10,short bed pick up,6,21333.333333333332,0
17880,2020,58000,chevrolet,corvette,convertible,5,11600.0,0
6100,2019,64000,tvr,vixen,coupe,6,10666.666666666666,0
26500,2019,5500,replica/kit makes,cadillac,convertible,6,916.6666666666666,0
15100,2019,76000,buick,series 90,coupe,6,12666.666666666666,0
9100,2019,131000,jeep,wrangler,jeep,6,21833.333333333332,0
14200,2020,49000,chevrolet,impala,coupe,5,9800.0,0
15800,2019,10000,oldsmobile,toronado,two door coupe,6,1666.6666666666667,0
3990,2019,124000,chevrolet,other pickups,heavy duty pick up,6,20666.666666666668,0
29850,2020,99000,buick,special,convertible,5,19800.0,0
6900,2019,103000,porsche,914,,6,17166.666666666668,0
12600,2019,42000,porsche,914,targa top roadster,6,7000.0,0
7750,2020,99999,buick,special,hard top,5,19999.8,0
16110,2020,13000,replica/kit makes,hummer h1,suv,5,2600.0,0
13950,2019,55000,mercury,monterey,two door hard top,6,9166.666666666666,0
10750,2019,110700,hummer,h2,sport utility vehicle,6,18450.0,0
20100,2020,29000,ford,mustang,coupe,5,5800.0,0
22200,2019,40000,ford,mustang,convertible,6,6666.666666666667,0
15000,2020,71000,cadillac,eldorado,convertible,5,14200.0,0
26110,2019,38000,buick,phaeton,sedan,6,6333.333333333333,0
18900,2020,49000,amc,amx,sport coupe,5,9800.0,0
36000,2019,30868,rolls-royce,silver cloud,convertible,6,5144.666666666667,0
27770,2019,7900,replica/kit makes,mercedes benz 500k,convertible,6,1316.6666666666667,0
11700,2019,15000,replica/kit makes,austin healey,convertible,6,2500.0,0
4260,2019,1,replica/kit makes,gt ii,gullwing coupe,6,0.16666666666666666,0
36040,2019,35,replica/kit makes,zephyr,convertible roadster,6,5.833333333333333,0
26430,2019,19900,ford,thunderbird,convertible and hard top,6,3316.6666666666665,0
10300,2019,26000,jaguar,xjs,sport coupe,6,4333.333333333333,0
7100,2019,68000,jaguar,xjs,sport coupe,6,11333.333333333334,0
17050,2019,52000,jaguar,xjs,convertible,6,8666.666666666666,0
11990,2019,78000,jaguar,xjs,convertible,6,13000.0,0
13880,2019,46000,land rover,range rover,sport utility vehicle,6,7666.666666666667,0
19600,2019,77000,bentley,arnage,luxury sedan,6,12833.333333333334,0
14900,2019,37000,rolls-royce,silver shadow,luxury sedan,6,6166.666666666667,0
12500,2019,68000,bmw,6-series,coupe,6,11333.333333333334,0
7100,2019,155000,bmw,6-series,sport coupe,6,25833.333333333332,1
16990,2019,76000,bmw,8-series,convertible,6,12666.666666666666,0
9090,2019,59000,bmw,5-series,sedan,6,9833.333333333334,0
12800,2020,87000,mercedes-benz,sl-class,convertible,5,17400.0,0
10000,2019,93000,mercedes-benz,sl-class,convertible,6,15500.0,0
14460,2019,63000,mercedes-benz,sl-class,convertible,6,10500.0,0
11400,2019,46900,mercedes-benz,sl-class,roadster convertible,6,7816.666666666667,0
12510,2019,90000,mercedes-benz,sl-class,convertible,6,15000.0,0
7880,2020,116000,porsche,928,coupe,5,23200.0,0
14000,2019,53000,chrysler,imperial,crouwn coupe,6,8833.333333333334,0
15500,2019,48000,maserati,quattroporte,four door luxury sedan,6,8000.0,0
860,2019,79000,maserati,quattroporte,,6,13166.666666666666,0
4890,2020,29000,maserati,biturbo,sedan,5,5800.0,0
3580,2019,68000,alfa romeo,164,sedan,6,11333.333333333334,0
3400,2020,77000,fiat,124 spider,convertibles,5,15400.0,0
1050,2020,230000,bmw,5-series,,5,46000.0,1
5100,2020,159602,mercedes-benz,slk-class,convertible,5,31920.4,1
50200,2020,39,plymouth,barracuda,,5,7.8,0
2060,2019,77073,ford,explorer sport trac,,6,12845.5,0
10500,2019,73566,chevrolet,nova,fastback,6,12261.0,0
13500,2019,82006,chevrolet,camaro,convertible,6,13667.666666666666,0
33800,2019,3000,ford,sunliner,convertible,6,500.0,0
6600,2019,104100,ford,excursion,suv,6,17350.0,0
36430,2019,69300,ford,f-250,crew cab pickup,6,11550.0,0
8100,2020,93500,ford,f-150,crew cab pickup,5,18700.0,0
3050,2020,93650,pontiac,fiero,coupe,5,18730.0,0
6110,2020,96800,chevrolet,s-10,extended cab pickup,5,19360.0,0
33950,2019,44900,gmc,yukon,suv,6,7483.333333333333,0
5200,2019,152000,chevrolet,tahoe,suv,6,25333.333333333332,1
28600,2019,23600,jeep,wrangler,suv,6,3933.3333333333335,0
5100,2020,65490,geo,tracker,suv,5,13098.0,0
8400,2019,5350,dodge,journey,suv,6,891.6666666666666,0
14670,2019,3050,chevrolet,equinox,suv,6,508.3333333333333,0
